epsilons,Ag,Al,As,B,C,Ca,Cd,Ce,Co,Cr,Cu,Ga,Ge,H,Hf,In,La,Mn,Mo,N,Nb,Ni,O,P,Pb,Re,S,Sb,Si,Sn,Ta,Ti,U,V,W,Zn,Zr
Ag,-18.73223202,-8.388309558,0,0,11.68624221,0,0,0,0,-2.011791971,0,0,0,0,0,0,0,0,0,0,0,0,-5.821175862,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al,-8.496748565,5.303439027,0,0,5.294119213,-7.51684095,0,0,0,0,0,0,0,1.979958416,0,0,0,0,0,1.685022089,0,0,-129.9805701,4.662327989,2.770434827,0,4.920961568,0,6.985820025,0,0,0,7.540200012,0,0,0,0
As,0,0,0,0,7.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.198733532,0,0,0,0,0,0,0.890901066,0,0,0,0,0,0,0,0,0,0
B,0,0,0,2.434526054,11.68624221,0,0,0,0,0,0,0,0,3.393799803,0,0,0,-0.178592403,0,4.967589379,0,0,-13.14796627,1.310973128,0,0,6.594788613,0,9.53494973,0,0,0,0,0,0,0,0
C,11.52919733,5.303439027,12.94967204,11.68928153,12.82592305,-15.75614207,18.83,-3.011753999,1.721100713,-4.864842769,3.970209617,11.56,2.096841853,3.768051935,0,5.49,2.295134524,-1.857318317,-6.00927778,7.10567279,-22.78075114,2.307261408,-20.40874956,6.9624642,5.599250519,0,6.079764907,6.354870064,9.766688794,9.391403076,-170.2244881,0,0,-6.051075243,-6.399348052,-3.94,0
Ca,0,-7.525810962,0,0,-16.06250877,-0.04829229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.74532153,-38283.41653,0,0,0,-18519.80401,0,-10.66606291,0,0,0,0,0,0,0,0
Cd,0,0,0,0,18.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.94,0
Ce,0,0,0,0,-3.011753999,0,0,0.745652484,0,0,0,0,0,-1.513061482,0,0,0,29.48113873,0,0,0,0,-36963.27411,0,0,0,-5291.068378,0,0,0,0,0,0,0,0,0,0
Co,0,0,0,0,1.728564123,0,0,0,1.182351081,-4.724812365,0,0,0,0.399782748,0,0,0,-0.920625603,0,2.887292006,0,0,1.90165727,0.918217379,-0.058380864,0,0.556135656,0,4.6,0,0,0,0,0,0,0,0
Cr,-1.999441674,0,0,0,-2.89,0,0,0,-4.749641769,0.004649947,4.056848124,0,0,-0.431888657,0,0,0,0.885853202,-0.005357504,-9.767850348,0,-0.002482274,-9.84761023,-3.771504784,4.38510411,0,-22.06297769,0,0.03,3.194615034,0,0,0,2.609858079,0,0,0
Cu,0,0,0,0,4.99,0,0,0,0,3.930276234,-5.381104918,0,0,0.191864897,0,0,0,0,0,2.200887395,0,0,-3.576933755,-8.276816573,-7.296821017,0,-2.289370321,0,3.625603596,-6.512764193,0,0,0,0,0,0,0
Ga,0,0,0,0,11.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.939,0,0,0,0,0,0,0,0,0,0
Ge,0,0,0,0,7.1,0,0,0,0,0,0,0,0,2.686879109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,1.963988152,0,3.393335754,3.758027642,0,0,-1.508791406,0.382437671,-0.445831758,0.203017299,0,2.696208986,0.981952731,0,0,-16.95996283,-0.436976122,0.430033541,0,-1.928370278,-0.510987776,4.013885135,2.362191778,0,0,2.67475793,0,3.625603596,1.666059928,-0.97080892,-3.609185153,0,-1.467328179,1.348887119,0,-3.945287781
Hf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.958766281,0,0,0,0,0,0,0,-210.5092574,0,0,0,-35.29171332,0,0,0,0,0,0,0,0,0,0
In,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La,0,0,0,0,2.271487411,0,0,0,0,0,0,0,0,-16.89898246,0,0,-5.957050055,63.47899651,0,0,0,0,-2958.792565,0,0,0,-10506.06959,0,0,0,0,0,0,0,0,0,0
Mn,0,0,0,-0.24617594,-1.880914967,0,0,29.70658553,-0.915586375,0.891108071,0,0,0,-0.431888657,0,0,61.55040435,0.016241469,1.085245198,-4.509320877,2.100362537,-1.765618406,-4.765061929,-6.450570915,-5.050408556,0,-5.765780339,0,-3.291807467,0,0.366951272,-9.731067746,0,1.265228225,3.043776704,0,0
Mo,0,0,0,0,-6.020852618,0,0,0,0,0.004649947,0,0,0,0.441366318,0,0,0,1.086573069,3.962797025,-5.02939522,0,0,1.261388198,-0.321300468,-0.743841511,0,0.34650046,0,22,0,0,0,0,0,0,0,0
N,0,1.699665833,5.222258667,4.999002678,7.226621513,0,0,0,2.862412377,-9.798690015,2.22880759,0,0,0,0,0,0,-4.516719056,-5.071726027,0.749208594,-26.72752695,1.644106969,-7.207325398,7.98474696,0,0,1.33744887,3.240405299,6.058863769,2.31011148,-45.53796517,-118.3451138,0,-23.24034346,-3.820775099,0,-237.7362139
Nb,0,0,0,0,-22.79947109,0,0,0,0,0,0,0,0,-1.928897184,0,0,0,2.090172406,0,-26.69915952,-0.663498299,0,-46.81159787,-5.304928924,0,0,-5.508268486,0,0,0,0,0,0,0,0,0,0
Ni,0,0,0,0,2.307306855,-10.67015196,0,0,0,0.004649947,0,0,0,-0.515055797,0,0,0,-1.768109487,0,1.615999167,0,0.12,0,0.675425224,-4.551205787,0,-0.049017199,0,7.5,0,0,0,0,0,0,0,0
O,-5.826622446,-129.7216913,0,-13.02014836,-20.07616739,-85152.79798,0,-36997.51109,1.889873277,-11.72932589,-3.545947382,0,0,4.017553356,-208.3818061,0,-2989.277633,-4.743371441,1.261234627,-7.340836746,-46.65884297,0,-1,9.390385756,0,0,-17.16834551,-12.73378495,-5,-6.561739188,-76.89174343,-221.0347573,-435.3472182,-29.33510642,4.15515308,0,-1506.048225
P,0,4.635548852,0,1.31790581,7.028416149,0,0,0,0.917334176,-3.792267281,-8.319075438,0,0,2.354210548,0,0,0,-6.463825022,-0.322005537,8.261393553,-5.263032766,0.675525061,9.294454798,7.345820235,6.157107511,0,4.792205641,0,11.9682099,5.101319047,0,-7.75626691,0,-4.956054565,-17.62860564,0,0
Pb,0,2.77830688,0,0,8.75,0,0,0,-0.053731221,4.359306429,-7.278790128,0,0,0,0,0,0,-5.057950205,-0.717815577,0,0,-4.527498297,0,6.052217495,0,0,-38.55001484,0,5.9,26.07506319,0,0,0,0,-2.230497562,0,0
Re,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,0,4.945176054,0.90110202,6.602001836,6.117363171,-18187.75419,0,-5261.877868,0.56154385,-2.125117769,-2.277520439,6.939,3.790967191,2.686879109,-35.33290537,0,-10544.63749,-5.719755808,0.350871533,1.312898458,-2243.87022,-0.049552284,-17.10839352,4.786614678,-38.66571491,0,-5.659345515,0.660394026,8.942083762,-3.19284341,-16.42374249,-35.40347862,-69.05673706,-3.800982607,5.896200577,0,-79.66765472
Sb,0,0,0,0,17.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.234008235,0,0,-12.48789506,0,0,0,0.659140398,0,0,0,0,0,0,0,0,0,0
Si,0,6.973164464,0,9.726799731,9.704188565,-10.67015196,0,0,4.6,0.03,3.637383545,0,0,3.643301224,0,0,0,-3.24005518,22,6.065524104,0,7.5,-5,11.94609266,5.9,0,8.912395292,0,8.6,7.00802306,27.62085078,243.0434393,0,2,18.3,0,0
Sn,0,0,0,0,8.37,0,0,0,0,3.198991193,-6.429766367,0,0,1.647289854,0,0,0,0,0,2.309431624,0,0,-6.547254191,4.910988775,26.48256636,0,-3.190661807,0,6.912108949,-0.292939861,0,0,0,0,0,0,0
Ta,0,0,0,0,-168.9577257,0,0,0,0,0,0,0,0,-0.972475069,0,0,0,0.37290243,0,-38.83422754,0,0,-78.49501585,0,0,0,-16.77148344,0,27.1471186,0,79.87714789,0,0,0,0,0,0
Ti,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.592239993,0,0,0,-9.729723916,0,-118.29003,0,0,-223.7106816,-7.2217091,0,0,-35.29171332,0,243.8231435,0,0,8.437099951,0,0,0,0,0
U,0,7.084479493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-434.9334681,0,0,0,-69.68642595,0,0,0,0,0,9.504224039,0,0,0,0
V,0,0,0,0,-4.72,0,0,0,0,2.621734138,0,0,0,-1.471477912,0,0,0,1.264990729,0,-22.36520666,0,0,-29.64974647,-4.921572889,0,0,-3.83444144,0,2,0,0,0,0,6.581962218,0,0,0
W,0,0,0,0,-6.505783788,0,0,0,0,0,0,0,0,1.347888148,0,0,0,3.049167327,0,-3.828112301,0,0,4.145899377,-17.86460627,-2.221592864,0,5.95100898,0,18.3,0,0,0,0,0,0,0,0
Zn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zr,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.008075695,0,0,0,0,0,-237.9071289,0,0,-1517.450249,0,0,0,-80.26941445,0,0,0,0,0,0,0,0,0,11.40994369
